CNTYVTD,Trump,Clinton,winner,population,registered,turnout,percentSpanishSurname
610031,59,89,Clinton,680,304,157,73
610032,496,577,Clinton,4900,2415,1138,66
610033,102,151,Clinton,2008,720,267,84.7
610034,58,68,Clinton,545,306,128,86.9
610035,362,289,Trump,2194,1255,685,56.5
610036,357,505,Clinton,2682,1629,912,65.7
610037,95,567,Clinton,3543,1880,691,90.9
610038,175,231,Clinton,925,665,433,60.2
610039,124,348,Clinton,2623,1467,499,91.2
610040,332,655,Clinton,4846,2523,1036,79
610041,393,1196,Clinton,9001,4450,1648,88.9
610042,93,332,Clinton,2742,1256,446,89.2
610043,121,316,Clinton,2879,1228,462,90.1
610044,964,674,Trump,4199,2800,1740,42.6
610045,130,695,Clinton,4470,2231,876,93.6
610046,378,1176,Clinton,6673,3310,1616,85.6
610047,78,312,Clinton,2365,899,412,81.8
610048,202,435,Clinton,1547,1155,668,69.6
610049,105,202,Clinton,1222,556,326,54.7
610050,800,1153,Clinton,8387,3897,2048,79.3
610051,122,378,Clinton,3783,1303,523,89.3
610052,748,454,Trump,2885,2092,1259,18.2
610053,215,1125,Clinton,9678,3961,1419,93.2
610054,494,1541,Clinton,7081,4001,2167,85
610055,454,932,Clinton,5424,2685,1461,76.1
610056,453,453,,3893,1807,948,61
610057,155,159,Clinton,1432,733,330,78.2
610058,656,777,Clinton,6578,2888,1519,74.8
610059,58,196,Clinton,3894,671,274,79.7
610060,109,264,Clinton,2393,916,391,83.8
610061,288,729,Clinton,3823,2018,1080,75.4
610062,309,1004,Clinton,5287,3013,1404,86.8
610063,215,608,Clinton,2500,1494,857,80.8
610064,530,606,Clinton,4511,2340,1189,70.5
610065,431,791,Clinton,7081,3025,1302,77.7
610066,801,994,Clinton,7889,3803,1890,70.8
610067,908,619,Trump,4129,2575,1608,34.3
610068,136,806,Clinton,6433,2508,998,92
610069,269,1230,Clinton,8529,3798,1575,90.8
610070,71,398,Clinton,2496,1348,489,93.7
610071,237,1244,Clinton,7736,3835,1558,89.9
610072,400,1037,Clinton,5690,2755,1534,80.6
610073,474,1369,Clinton,5935,3531,1955,78.7
610074,331,1350,Clinton,9872,4088,1790,90.9
610075,185,1017,Clinton,6638,2973,1269,93
610076,195,382,Clinton,2958,1242,625,74.8
610077,146,1085,Clinton,7039,3429,1289,94.1
610078,601,735,Clinton,5892,3018,1417,73.3
610079,618,685,Clinton,5950,2777,1368,63.3
610080,1285,959,Trump,7931,4294,2344,56
610081,303,429,Clinton,3564,1647,766,85.7
610082,182,693,Clinton,7367,2579,928,87.6
610083,260,329,Clinton,2220,1064,613,52.1
610084,478,459,Trump,3254,1780,1008,64.2
610085,271,236,Trump,1602,884,525,65
610086,116,404,Clinton,2896,1318,544,89.5
610087,536,437,Trump,3804,1975,1018,57.6
610095,99,276,Clinton,1688,803,399,86.9
610096,126,511,Clinton,3656,1579,663,87.7
610097,79,226,Clinton,869,579,322,75.1
610098,567,1825,Clinton,10610,5038,2527,84.9
610099,58,100,Clinton,1000,422,166,78.2
610100,618,1566,Clinton,7205,4065,2315,82.1
610101,135,217,Clinton,1149,701,387,76.5
610102,302,571,Clinton,2986,1827,917,78.1
610103,50,96,Clinton,728,343,152,79.9
610104,33,45,Clinton,403,209,79,88.5
610105,9,13,Clinton,254,58,28,84.5
610106,386,806,Clinton,3865,2236,1259,67.3
610107,59,201,Clinton,1011,647,282,87.6
610108,0,0,,0,0,0,0
610109,0,0,,0,0,1,0
631001,845,313,Trump,3136,1893,1183,10
632002,1025,250,Trump,3136,2064,1301,6.3
633003,479,425,Trump,3101,1728,923,8
634004,852,272,Trump,3028,1895,1135,7.1
650101,323,38,Trump,697,515,382,4.7
650102,74,1,Trump,124,102,77,2.9
650103,270,36,Trump,724,477,321,13
650201,662,52,Trump,1542,1087,755,4.7
650301,415,50,Trump,967,665,483,4.8
650302,209,15,Trump,593,361,234,6.6
650401,459,53,Trump,1052,758,527,4.9
650402,205,4,Trump,483,352,212,2.6
670001,1569,413,Trump,4838,3325,2064,2.3
670002,215,71,Trump,588,431,293,0.7
670004,183,71,Trump,687,454,268,2.2
670005,399,95,Trump,1115,759,521,1.8
670006,257,32,Trump,743,500,300,2.2
670007,988,235,Trump,3578,2154,1261,1.9
670009,454,163,Trump,1596,1099,638,1.1
670011,298,123,Trump,1116,726,430,1.5
670012,408,147,Trump,1404,969,572,0.9
670014,1103,196,Trump,3232,2113,1349,1.3
670015,342,35,Trump,709,514,392,2.3
670016,297,37,Trump,771,522,346,2.1
670017,1733,297,Trump,4925,3241,2111,1.8
670018,345,24,Trump,812,554,377,0.5
670019,283,30,Trump,859,494,325,1
670021,162,17,Trump,419,254,191,2.4
690101,179,150,Trump,1609,764,348,61.3
690105,26,6,Trump,411,68,32,39.7
690201,139,142,Clinton,1676,785,299,74.1
690206,76,15,Trump,342,141,93,19.9
690301,421,110,Trump,1529,886,563,24.6
690307,82,14,Trump,486,212,100,36.8
690401,106,67,Trump,1215,543,182,68.5
690408,385,22,Trump,794,560,418,4.1
710001,295,59,Trump,669,589,363,5.1
710002,289,140,Trump,1008,850,445,6.2
710003,148,111,Trump,826,465,269,11.8
710004,1922,223,Trump,3664,3231,2229,7.4
710005,1330,191,Trump,2491,2290,1584,8.3
710006,930,317,Trump,3164,2216,1302,8.9
710007,1165,223,Trump,3850,2385,1438,8.1
710008,2196,300,Trump,4356,3887,2600,11.6
710009,157,31,Trump,458,352,195,7.4
710010,2225,314,Trump,5018,4031,2642,7.9
710011,1842,740,Trump,6516,4645,2681,15.3
710012,606,246,Trump,2423,1523,882,6.8
710013,0,0,,0,0,0,0
710014,234,53,Trump,653,456,293,22.8
730012,661,152,Trump,2468,1315,837,3.6
730013,625,61,Trump,1909,1117,704,5.4
730014,845,93,Trump,1958,1378,959,4.7
730015,1274,450,Trump,6199,3108,1794,11.3
730022,256,84,Trump,1022,581,347,4.6
730023,609,69,Trump,1458,978,688,3.3
730024,792,238,Trump,3269,1912,1057,4.1
730025,483,100,Trump,1788,1016,598,2.7
730026,412,165,Trump,1803,978,581,6
730027,511,166,Trump,1675,1042,681,4
730028,368,28,Trump,2582,594,407,1.9
730032,408,62,Trump,1101,722,482,4.4
730033,737,161,Trump,2446,1649,919,2.4
730034,775,82,Trump,1586,1283,889,2.5
730035,495,163,Trump,1533,1028,667,4.8
730036,898,179,Trump,2433,1628,1099,5
730037,144,86,Trump,1013,436,231,11.2
730038,134,144,Clinton,2288,687,290,31.9
730042,131,449,Clinton,2576,1281,592,9.1
730043,367,212,Trump,3047,1274,608,14.5
730044,752,96,Trump,2248,1339,858,7.9
730045,313,124,Trump,2030,810,446,23.5
730046,389,65,Trump,1033,706,461,4.5
730047,200,9,Trump,552,367,214,7.4
730048,340,31,Trump,828,556,381,2.5
750101,401,56,Trump,1513,804,452,18.3
750201,486,57,Trump,1471,915,559,10.5
750301,405,57,Trump,2617,859,460,15.5
750401,510,83,Trump,1440,985,613,13.5
770001,481,71,Trump,1449,953,573,2.5
770006,253,37,Trump,650,450,300,3.3
770008,460,70,Trump,1112,809,549,1.9
770009,276,43,Trump,648,508,331,3
770010,164,25,Trump,372,272,196,2.2
770011,549,36,Trump,1251,924,596,4.8
770012,174,22,Trump,402,322,206,5
770013,82,23,Trump,196,163,113,2.5
770014,101,12,Trump,241,161,118,2.5
770015,200,37,Trump,658,403,240,0.7
770017,574,77,Trump,1307,962,661,2.7
770020,291,18,Trump,551,439,319,2.1
770024,199,17,Trump,538,342,218,0.9
770026,129,14,Trump,243,192,145,2.6
770027,287,29,Trump,848,536,322,2.1
770032,157,5,Trump,286,220,164,1.8
790101,162,47,Trump,787,492,220,41.1
790202,220,51,Trump,789,453,285,31.3
790303,43,6,Trump,108,90,49,21.1
790306,171,51,Trump,665,415,235,42.2
790404,83,35,Trump,778,327,118,65.1
810001,340,28,Trump,828,587,378,12.1
810002,341,36,Trump,825,531,388,4.7
810003,325,36,Trump,837,569,379,15.6
810004,261,40,Trump,830,505,312,13.9
830001,808,76,Trump,2211,1508,895,9.2
830002,587,101,Trump,1663,1132,707,14.4
830003,665,83,Trump,2219,1358,762,12.9
830004,877,90,Trump,2216,1521,990,8.9
850001,857,673,Trump,3898,2537,1653,9.3
850002,1167,997,Trump,7559,3948,2319,12.4
850003,162,610,Clinton,5968,1968,808,37.7
850004,524,152,Trump,1069,1027,720,4.3
850005,481,199,Trump,1450,1013,725,7.4
850006,1854,1556,Trump,8429,5287,3674,8.2
850007,492,364,Trump,2051,1461,913,9
850008,1136,324,Trump,4977,2590,1519,12.5
850009,2262,967,Trump,8457,5748,3435,10.4
850010,345,63,Trump,886,639,423,7.8
850011,2456,995,Trump,5590,3295,3633,9.9
850012,943,395,Trump,2787,2062,1418,5.6
850013,1453,315,Trump,2728,2606,1864,6.1
850014,669,887,Clinton,5662,2596,1646,5.8
850015,451,421,Trump,3637,1591,930,9.6
850016,2838,890,Trump,6060,5712,4011,7.4
850017,1037,500,Trump,4053,2573,1642,8.4
850018,394,93,Trump,1200,774,513,6.5
850019,657,418,Trump,1981,1610,1164,3.6
850020,418,121,Trump,991,821,584,6.2
850021,1433,1174,Trump,5405,3967,2784,5.5
850022,1678,352,Trump,4412,3088,2126,7.9
850023,272,696,Clinton,4042,1820,1035,12.3
850024,416,869,Clinton,4119,2298,1366,6.9
850025,1669,1480,Trump,7541,4774,3381,5.9
850026,501,364,Trump,3129,1473,922,12.7
850027,979,573,Trump,4337,2524,1676,11.6
850028,844,739,Trump,3842,2478,1707,6.4
850029,376,123,Trump,59,652,552,4.4
850030,1921,1157,Trump,7680,5022,3326,10.6
850031,867,562,Trump,2607,2070,1531,4.5
850032,968,649,Trump,3071,2466,1748,5.9
850033,1614,482,Trump,4134,3276,2223,8.5
850034,1142,1459,Clinton,6679,3889,2721,3.6
850035,694,128,Trump,1836,1255,852,9
850036,841,501,Trump,2294,1975,1426,2.8
850037,959,149,Trump,2668,1753,1152,6.3
850038,1835,1477,Trump,3670,5216,3540,6.1
850039,821,870,Clinton,4871,2930,1813,9.8
850040,1516,642,Trump,4522,3476,2365,6.9
850041,1391,416,Trump,2792,2551,1936,4.5
850042,733,257,Trump,1722,1245,1040,11.6
850043,1517,1358,Trump,8992,4997,3074,11.8
850044,367,339,Trump,4179,1460,757,23.5
850045,996,538,Trump,1891,2308,1637,6.1
850046,649,887,Clinton,6515,2864,1652,21.9
850047,830,698,Trump,3643,2494,1667,11.2
850048,1077,906,Trump,4504,3062,2134,5.2
850049,970,571,Trump,2672,2311,1633,4
850050,464,955,Clinton,6738,2832,1511,15.8
850051,330,481,Clinton,4167,1603,875,24.1
850052,700,1244,Clinton,6244,3330,2053,7.8
850053,871,578,Trump,2767,2138,1558,6.4
850054,691,950,Clinton,4921,3027,1793,10.5
850055,727,864,Clinton,5389,2776,1780,6.8
850056,2706,1306,Trump,8735,6363,4323,10.2
850057,1497,1040,Trump,6945,4304,2739,10.5
850058,1059,1051,Trump,5346,3559,2234,5.5
850059,1479,902,Trump,5946,3804,2550,7.5
850060,1041,374,Trump,2581,2030,1499,4.5
850061,692,432,Trump,2142,1665,1185,7.1
850062,761,748,Trump,3637,2500,1632,9.8
850063,868,538,Trump,2398,2021,1489,4.5
850064,828,815,Trump,4207,2698,1776,4.7
850065,436,302,Trump,1996,1218,788,8.5
850066,663,542,Trump,3505,2023,1307,8.2
850067,774,631,Trump,2046,2174,1511,5.7
850068,600,498,Trump,3565,1937,1193,17
850069,1386,1075,Trump,4884,3731,2622,4.5
850070,791,468,Trump,2402,1892,1333,6.1
850071,646,482,Trump,2246,1723,1207,5.6
850072,568,407,Trump,2786,1544,1049,5.8
850073,388,608,Clinton,3074,1729,1060,6.8
850074,564,509,Trump,2802,1775,1147,5.6
850075,831,455,Trump,2184,1879,1363,2.6
850076,1220,888,Trump,4894,3217,2262,4.6
850077,1015,1134,Clinton,5164,3581,2269,6.4
850078,772,628,Trump,2373,2147,1508,4.5
850079,761,699,Trump,6580,2584,1543,7.4
850080,1211,943,Trump,5065,3497,2317,7.8
850081,804,882,Clinton,4472,2805,1823,6.3
850082,866,643,Trump,4573,2593,1621,10.6
850083,1893,802,Trump,7307,4533,2877,9.3
850084,792,677,Trump,3825,2328,1558,4.7
850085,901,934,Clinton,4532,3076,1954,9.8
850086,994,764,Trump,4175,2754,1878,4.8
850087,1692,1729,Clinton,4923,4759,3605,4.2
850088,372,789,Clinton,4161,2360,1252,7.2
850089,1556,1575,Clinton,7334,4913,3273,4.3
850090,1363,702,Trump,4053,3126,2181,2.8
850091,755,627,Trump,3704,2267,1504,6.7
850092,943,819,Trump,4869,3155,1884,12.6
850093,128,24,Trump,386,235,162,5.1
850094,1125,1320,Clinton,5767,3602,2588,4.9
850095,950,859,Trump,4420,2882,1983,7.4
850096,311,269,Trump,2487,1683,619,12.7
850097,701,260,Trump,1549,1345,1005,2.5
850098,456,223,Trump,2133,1070,703,9.7
850099,87,79,Trump,400,295,181,10.2
850100,9,6,Trump,48,25,16,32
850101,1153,755,Trump,4476,2948,2064,7.4
850102,1238,501,Trump,3149,2502,1857,3.8
850103,300,363,Clinton,2810,1282,722,19.3
850104,388,930,Clinton,4839,2710,1416,7.7
850105,427,295,Trump,1918,1155,761,6.9
850106,685,492,Trump,2912,1933,1314,8
850107,1102,1025,Trump,4633,3297,2293,4.6
850109,1257,886,Trump,4697,3263,2274,4.4
850110,947,754,Trump,3550,2687,1804,4.3
850111,1786,1036,Trump,6665,4425,2957,8
850112,955,900,Trump,3971,2816,1970,3.7
850113,1036,809,Trump,5626,3237,2012,9.5
850114,702,198,Trump,1780,1300,949,8.2
850115,929,918,Trump,3585,2836,1960,4
850116,1676,1261,Trump,5598,4336,3077,3.6
850117,1350,1119,Trump,6624,4196,2665,8.4
850118,1726,930,Trump,6130,4213,2836,5.5
850119,1905,1517,Trump,6952,5082,3603,3.6
850120,2446,1735,Trump,8142,6169,4452,4.4
850121,633,1023,Clinton,4333,2491,1726,3.8
850122,2143,897,Trump,5386,4447,3231,4.1
850123,817,529,Trump,3038,2039,1407,4.9
850124,895,916,Clinton,5505,3024,1918,4.9
850125,1316,1549,Clinton,7252,4512,3073,4.2
850127,1235,992,Trump,5554,3604,2358,8.6
850128,2354,727,Trump,5009,4340,3275,4
850129,1414,866,Trump,4904,3690,2419,7.7
850130,1897,1664,Trump,8093,5385,3801,5.1
850131,2378,1155,Trump,6734,5422,3799,4.9
850132,847,902,Clinton,3914,2771,1878,5.3
850133,838,560,Trump,4416,2427,1497,9
850134,2180,2037,Trump,8124,6330,4465,9
850135,1171,1203,Clinton,6057,3818,2506,5.9
850136,719,521,Trump,2719,1841,1307,4.3
850137,714,502,Trump,2827,1922,1284,3.7
850138,580,241,Trump,1467,1215,886,4.6
850139,1181,1381,Clinton,7693,4218,2722,6.5
850140,2042,895,Trump,6472,4493,3112,4.5
850141,1034,839,Trump,3801,2847,2024,6
850142,899,912,Clinton,4504,2781,1941,4.9
850143,775,422,Trump,2282,1754,1259,3.2
850144,967,614,Trump,3586,2510,1692,3.1
850145,501,488,Trump,2207,1521,1072,9.7
850146,1431,1228,Trump,6978,4409,2889,9.3
850147,600,463,Trump,2959,1734,1122,7.4
850148,6,2,Trump,0,0,8,0
850149,1455,910,Trump,3812,3636,2530,7.9
850150,239,128,Trump,187,471,390,8.1
850151,446,471,Clinton,2232,1491,989,8.7
850152,15,35,Clinton,1174,91,52,38.5
850153,1408,967,Trump,4109,3505,2546,6.8
850154,495,65,Trump,1102,842,586,5
850155,2868,1438,Trump,7233,6509,4563,6.3
850156,1255,852,Trump,5384,3399,2271,8.4
850157,2001,1765,Trump,6145,5485,3991,5.3
850158,636,801,Clinton,2654,2203,1521,6.9
850159,1408,1300,Trump,8349,4655,2926,10.4
850160,177,22,Trump,354,279,212,4.7
850161,111,43,Trump,348,248,161,4.4
850162,155,23,Trump,242,223,183,2.7
850163,921,630,Trump,2238,2351,1681,10
850164,395,211,Trump,467,795,631,1.3
850165,397,201,Trump,938,854,639,4.6
850166,1166,996,Trump,4583,3319,2303,7.1
850167,1219,1521,Clinton,7146,4249,2882,5.1
850168,808,309,Trump,2329,1702,1211,4.6
850169,905,783,Trump,3851,2573,1826,9.9
850170,695,332,Trump,2466,1639,1114,8.4
850171,2110,1621,Trump,7062,5639,3970,5.2
850172,1118,476,Trump,3174,2633,1705,10
850173,293,132,Trump,769,647,453,3.1
850174,1383,823,Trump,5820,3614,2348,11
850175,635,304,Trump,1695,1400,1000,7.2
850176,821,992,Clinton,5136,3576,1967,6.7
850177,1394,932,Trump,5528,4010,2435,5.8
850178,3532,1043,Trump,6660,6769,4812,6.5
850179,2510,801,Trump,4959,4459,3486,2.5
850180,244,98,Trump,993,583,368,11.1
850181,591,224,Trump,1396,1287,856,9.6
850182,1,0,Trump,0,0,1,0
850183,52,7,Trump,135,96,62,7.3
850184,0,1,Clinton,0,0,1,0
850185,23,10,Trump,63,43,33,0
850186,60,7,Trump,154,105,70,3.8
850187,256,34,Trump,686,446,301,4
850188,36,2,Trump,181,56,41,7.1
850189,382,65,Trump,948,715,466,6
850190,42,8,Trump,94,86,55,16.3
850191,201,37,Trump,949,421,248,12.1
850192,751,151,Trump,1888,1428,930,7.4
850193,421,82,Trump,1326,826,523,6.2
850194,13,5,Trump,27,25,21,0
850195,454,88,Trump,1185,824,582,7.2
850196,633,404,Trump,2118,1559,1120,7.1
850198,66,14,Trump,155,106,81,1.9
850199,569,141,Trump,450,975,757,4
850200,0,0,,0,0,0,0
850201,0,2,Clinton,0,0,2,0
850202,4,0,Trump,0,0,5,0
850203,1406,629,Trump,3964,3038,2159,4.7
850204,125,74,Trump,58,235,208,6
850205,11,6,Trump,0,26,17,15.4
850206,628,301,Trump,2472,1439,994,8
850207,1305,699,Trump,2255,3122,2160,7.7
850208,458,156,Trump,619,859,651,3.3
850209,208,108,Trump,0,400,334,9
850210,444,485,Clinton,1888,1311,973,4
850211,1914,1336,Trump,6632,5105,3490,6.6
850212,1876,1882,Clinton,5027,5447,3973,4.9
850213,2462,1953,Trump,8526,6804,4726,8.7
850214,1602,355,Trump,2028,2724,2049,2.8
870101,322,52,Trump,760,553,386,3.6
870201,172,28,Trump,660,386,201,25.1
870202,32,1,Trump,120,61,35,21.3
870301,183,27,Trump,687,385,217,24.2
870302,40,3,Trump,95,70,44,1.4
870401,174,29,Trump,589,341,210,25.2
870402,60,5,Trump,146,105,64,6.7
890101,962,357,Trump,3731,2313,1357,11.6
890102,141,36,Trump,490,321,180,10.6
890103,374,63,Trump,983,677,444,12.9
890201,1434,393,Trump,4308,2886,1893,9.5
890202,304,54,Trump,916,621,368,12.9
890301,570,67,Trump,1265,940,662,8.2
890302,574,76,Trump,1051,907,663,3.6
890303,280,38,Trump,623,457,325,6.3
890304,210,25,Trump,371,335,242,5.1
890305,591,180,Trump,1934,1246,800,12.8
890401,188,83,Trump,656,512,281,15
890402,697,615,Trump,4546,2654,1376,33.5
910101,1751,717,Trump,5172,3915,2687,11.6
910102,2035,408,Trump,3931,3445,2564,12.5
910103,1886,423,Trump,3415,3266,2453,6.6
910104,1083,294,Trump,2393,2062,1467,6.1
910106,3432,738,Trump,6299,5785,4363,9.4
910201,1788,707,Trump,4962,4124,2681,20.6
910202,451,185,Trump,1005,1074,681,18.2
910204,2811,706,Trump,6143,5230,3722,13.8
910205,2802,902,Trump,5240,5095,3920,10.3
910206,2620,595,Trump,4833,4587,3401,10.9
910301,1020,888,Trump,8178,4549,2031,52.3
910302,1890,980,Trump,8150,5220,3122,24.4
910303,236,263,Clinton,1461,1047,538,54.4
910304,1805,932,Trump,7372,5561,2929,29.1
910305,770,322,Trump,2617,1904,1191,25.3
910401,1047,396,Trump,2483,2167,1549,9.8
910402,2270,663,Trump,5400,4360,3086,7.5
910403,2426,603,Trump,4567,4333,3201,8.7
910404,3157,784,Trump,4943,5517,4199,11.8
910405,1816,431,Trump,4590,3623,2414,12.6
910406,2292,837,Trump,4773,4790,3328,11
930001,799,125,Trump,2621,1602,941,13
930002,749,135,Trump,2922,1668,912,19.4
930004,51,12,Trump,115,93,63,5.4
930005,340,64,Trump,1038,711,414,11.3
930006,210,30,Trump,630,368,245,14.7
930007,168,31,Trump,642,329,204,12.8
930009,110,19,Trump,311,201,131,1
930010,207,39,Trump,770,425,249,8.5
930011,283,70,Trump,797,579,365,9
930012,905,203,Trump,2988,2024,1127,16.4
930013,119,21,Trump,301,224,144,4
930014,58,12,Trump,124,110,74,3.6
930015,265,28,Trump,607,480,299,4.2
930016,69,0,Trump,108,97,71,2.1
950101,238,25,Trump,509,396,280,9.3
950102,54,10,Trump,125,95,66,22.1
950203,94,4,Trump,162,118,102,2.5
950204,67,19,Trump,207,137,89,46
950205,78,16,Trump,275,172,100,21.5
950306,153,47,Trump,638,373,220,43.2
950407,52,1,Trump,145,79,54,3.8
950408,149,26,Trump,2026,291,185,25.4
970001,570,204,Trump,2407,1424,828,9.7
970002,94,27,Trump,364,253,124,8.3
970003,253,56,Trump,672,528,319,3.6
970004,278,58,Trump,471,546,343,4.6
970005,540,158,Trump,2856,1350,736,9.2
970006,296,36,Trump,795,516,337,3.1
970007,773,120,Trump,2355,1572,921,5.3
970008,544,52,Trump,1304,949,613,4.4
970009,827,88,Trump,2083,1441,935,2
970010,1056,163,Trump,1903,1770,1270,2.8
970011,1254,211,Trump,3729,2398,1521,6.4
970012,448,58,Trump,978,768,528,5.9
970014,172,39,Trump,389,286,217,3.1
970015,145,19,Trump,406,264,170,2.7
970017,315,16,Trump,600,434,337,0.9
970018,1190,83,Trump,2347,1729,1317,1.6
970019,242,23,Trump,594,377,275,1.3
970020,254,34,Trump,450,410,296,4.4
970021,826,58,Trump,1514,1180,912,1.3
970022,1186,194,Trump,1906,1836,1430,1.1
970024,2,0,Trump,30,4,2,0
970025,2,0,Trump,11,9,3,0
970026,234,70,Trump,1572,574,315,9.6
970027,81,31,Trump,326,196,115,9.7
970028,49,14,Trump,54,97,66,6.2
970030,77,35,Trump,614,278,121,14.4
970031,49,25,Trump,536,200,77,16
970033,266,31,Trump,615,436,309,2.1
970034,116,118,Clinton,1737,623,245,24.4
970035,273,133,Trump,2432,1045,426,14.5
970037,766,197,Trump,2387,1594,1003,7.5
990101,1762,1089,Trump,8050,5678,3117,10.9
990102,697,92,Trump,1704,1281,827,3
990103,163,42,Trump,490,340,210,5.6
990104,1291,693,Trump,6618,4573,2192,11.4
990205,1117,201,Trump,3437,2287,1383,6.6
990206,489,399,Trump,6643,3458,970,13.6
990207,1094,727,Trump,6756,4149,1981,9.7
990308,1808,283,Trump,5535,3697,2211,6.1
990309,351,34,Trump,984,628,396,3.3
990310,339,77,Trump,1170,727,449,9.9
990311,51,69,Clinton,9581,837,136,13.5
990412,989,620,Trump,6051,3879,1788,11
990413,1079,225,Trump,12005,2358,1363,8.4
990414,235,19,Trump,560,378,263,4.2
990415,143,18,Trump,249,255,169,2.7
990416,617,476,Trump,5555,3079,1188,10.6
1010101,149,21,Trump,341,261,174,11.9
1010102,24,0,Trump,37,40,28,5
1010201,166,18,Trump,369,267,187,9
1010301,72,35,Trump,375,250,110,23.6
1010401,95,17,Trump,383,254,113,22
1030001,357,62,Trump,1078,735,433,36.6
1030002,295,66,Trump,1110,676,368,43.8
1030003,184,104,Trump,1103,664,298,55.9
1030004,213,67,Trump,1084,603,287,48.3
1050001,234,108,Trump,910,680,352,64.1
1050002,280,89,Trump,953,668,382,37.9
1050003,262,84,Trump,935,658,368,29.6
1050004,204,91,Trump,921,545,293,78.3
1070011,213,107,Trump,1427,816,342,51.3
1070027,355,131,Trump,1579,966,513,39.6
1070039,252,106,Trump,1457,853,388,46.3
1070044,361,124,Trump,1596,970,522,39
1090001,48,95,Clinton,614,400,147,67
1090002,67,129,Clinton,607,475,205,68
1090004,47,116,Clinton,596,436,168,72.5
1110001,187,28,Trump,827,381,225,15
1110002,28,0,Trump,103,75,25,12
1110003,9,0,Trump,28,29,8,3.4
1110004,28,1,Trump,96,50,29,0
1110005,11,0,Trump,64,41,10,0
1110006,134,33,Trump,824,391,185,25.8
1110007,223,51,Trump,1577,646,277,39.3
1110008,366,52,Trump,1584,834,448,21.2
1110009,275,57,Trump,1600,704,351,32.5
1131000,44,279,Clinton,2792,876,341,15.5
1131001,68,291,Clinton,2022,809,390,13.6
1131002,105,429,Clinton,5005,1298,582,17.5
1131003,194,1628,Clinton,5013,3517,1924,6.9
1131004,506,566,Clinton,2305,1716,1176,4.5
1131005,503,983,Clinton,3261,2415,1588,10.3
1131006,660,531,Trump,1919,1654,1302,3.3
1131007,181,91,Trump,468,397,306,3.3
1131008,121,299,Clinton,2251,738,448,12.1
1131009,85,416,Clinton,4606,1032,527,14.2
1131010,199,666,Clinton,4267,1695,938,14.8
1131011,56,273,Clinton,4446,915,347,16.8
1131012,73,89,Clinton,268,243,176,7.4
1131013,905,1472,Clinton,4048,4033,2621,5.1
1131014,329,874,Clinton,4495,2349,1326,24.6
1131015,357,783,Clinton,4437,2096,1257,17
1131016,41,91,Clinton,241,215,149,12.6
1131017,239,454,Clinton,1602,1218,785,15.8
1131018,47,109,Clinton,306,258,173,11.6
1131019,439,1122,Clinton,3117,2564,1754,14.1
1131020,314,540,Clinton,1515,1287,932,7.8
1131021,378,713,Clinton,1668,1671,1175,6.2
1131022,598,1800,Clinton,3759,3716,2558,8.9
1131023,483,782,Clinton,2449,2000,1428,7.3
1131026,114,260,Clinton,805,618,408,9.2
1131027,507,1322,Clinton,8104,3889,1940,7.5
1131028,250,598,Clinton,3489,1603,903,6.7
1131029,145,690,Clinton,4692,1858,871,6.3
1131030,389,835,Clinton,5803,2492,1306,9.3
1131032,211,250,Clinton,2016,780,495,7.8
1131033,348,403,Clinton,2683,1278,834,12.8
1131035,43,87,Clinton,670,255,136,38.4
1131036,118,301,Clinton,2490,796,452,24.6
1131037,145,505,Clinton,7418,1606,686,20.7
1131038,158,890,Clinton,8265,2909,1119,8.7
1131039,15,139,Clinton,998,325,161,6.8
1131040,438,1095,Clinton,6435,3096,1618,8.7
1131041,38,319,Clinton,1873,1040,374,5.8
1131042,56,534,Clinton,3021,1565,626,7.3
1131043,755,736,Trump,3437,2266,1594,6.1
1131044,804,709,Trump,2937,2254,1645,3.6
1131045,169,673,Clinton,8016,2094,892,18.3
1131046,61,134,Clinton,509,324,213,23.5
1131047,254,463,Clinton,2909,1315,767,30.7
1131048,841,926,Clinton,3015,2558,1932,10
1131049,611,771,Clinton,2610,2159,1517,6.2
1131050,45,61,Clinton,173,148,117,6.1
1131051,63,88,Clinton,321,223,169,10.8
1131052,812,1399,Clinton,4917,3372,2411,9.5
1131054,193,565,Clinton,3767,1564,794,41.5
1131055,104,296,Clinton,2358,875,420,41.6
1131056,207,328,Clinton,1947,965,588,32.3
1131057,316,695,Clinton,4157,1904,1061,39.2
1131058,395,696,Clinton,3554,1937,1197,27.5
1131059,452,580,Clinton,2394,1635,1121,11.7
1131060,1115,1773,Clinton,4761,4053,3127,6.8
1131061,335,608,Clinton,1667,1388,1015,9
1131062,9,16,Clinton,101,61,26,39.3
1131063,250,563,Clinton,3645,1618,858,39.2
1131064,16,56,Clinton,413,174,74,19
1131067,4,3,Trump,15,10,7,40
1131068,7,14,Clinton,112,42,22,19
1131069,4,25,Clinton,51,50,31,20
1131070,153,668,Clinton,4692,1742,891,27.6
1131073,274,1082,Clinton,6256,2647,1465,38
1131074,81,569,Clinton,3435,1380,678,72.4
1131076,395,879,Clinton,2597,1945,1429,6.7
1131077,0,0,,0,0,0,0
1131078,73,509,Clinton,3985,1331,601,16.3
1131079,261,680,Clinton,3643,1731,1005,14.8
1131080,53,307,Clinton,2582,1070,377,6.9
1131081,541,1183,Clinton,4547,2758,1839,16.9
