CNTYVTD,metersFromMexico
1670309,430812
1670311,430757
1670312,433186
1670314,433835
1670315,429621
1670316A,431017
1670316B,433923
1670330,432019
1670331,432178
1670334,426989
1670336,433003
1670338,432663
1670340,439015
1670341,438374
1670343,435699
1670345,430899
1670347,435449
1670389,438126
1670391,440676
1670394,440842
1670398,439271
1670399,439035
1670401,432609
1670439,435924
1670453,440693
2030001,771040
2030002,728913
2030003,772772
2030004,739106
2030005,789812
2030006,759348
2030007,771837
2030008,775313
2030009,726142
2030010,763013
2030011,768575
2030012,717576
2030013,685289
2030014,743009
2030015,695465
2030016,694475
2030017,778563
2030018,780494
2030019,678687
2030020,769671
2030021,755911
2030022,771285
2030023,689632
2030024,703101
2030025,683237
2030026,776999
2050101,575220
2050102,595796
2050201,530989
2050202,577308
2050301,597067
2050401,533195
2070001,405973
2070002,406969
2070003,402011
2070004,398085
2070005,395102
2070006,399876
2070007,414368
2070008,420122
2070009,383962
2070010,377612
2090110,268774
2090111,281332
2090112,279548
2090113,271284
2090120,282608
2090125,291185
2090127,291386
2090129,293072
2090221,288888
2090223,287959
2090224,295098
2090225,284195
2090226,295951
2090228,294483
2090229,296915
2090230,290699
2090232,285161
2090234,303314
2090236,287646
2090238,296192
2090301,271226
2090315,264535
2090316,271248
2090317,280425
2090318,280957
2090330,280920
2090332,275571
2090333,268899
2090334,282033
2090335,259598
2090336,266199
2090337,256865
2090339,264796
2090413,282651
2090414,282336
2090415,284894
2090416,287755
2090417,289611
2090418,294125
2090419,286933
2090420,281388
2090421A,279462
2090421B,283651
2090440,260838
2090441A,270562
2090441B,276144
2090442,290298
2090443,289249
2090444,284951
2090447,278294
2090449,275266
2110101,670520
2110201,680966
291118,178024
291119,205314
291120,205918
291121,184204
291122,184854
291123,184101
291124,200417
291125,205273
291126,208486
291127,201491
291128,199846
291129,193972
291130,187152
291131,196935
291132,198162
291133,188980
291134,193209
291135,183079
291136,191148
291137,190209
291138,203833
291139,202529
292001,206379
292002,206220
292003,206700
292004,206845
292005,207316
292006,209633
292007,205772
292008,205428
292009,203756
292010,215829
292011,203813
292012,205058
292013,206531
292014,205964
292015,203660
292016,203802
292017,203013
292018,204335
292019,202502
292020,201536
292021,202980
292022,204390
292023,204699
292024,205262
292025,206941
292026,200185
292027,206667
292028,207381
292029,203925
292030,203416
292031,204270
292032,204012
292033,207273
292034,207964
292035,210525
292036,210601
292037,198644
292038,213829
292039,209083
292040,198299
292041,203704
292042,202673
292043,201019
292044,198083
292045,208378
292046,207296
292047,208369
292048,209770
292049,194171
292050,196934
292051,208128
292052,210479
292053,211032
292054,211747
292055,211426
292056,211911
292057,210918
292058,210914
292059,209791
292060,208963
292061,197160
292062,210113
292063,188868
292064,204750
292065,190651
292066,196885
292067,208943
292068,194161
292069,194494
292070,205185
292071,204792
292072,194383
292073,211367
292074,205288
292075,199787
292076,195504
292077,195459
292078,192527
292079,205136
292080,211760
292081,201866
292082,212226
292083,208035
292084,196615
292085,210564
292086,196175
292087,195103
292088,193124
292089,205618
292090,196624
292091,200893
292092,215907
292093,188713
292094,212500
292095,190990
292096,200052
292097,192645
292098,191630
292099,197696
292100,212000
292101,193152
294117,220195
294118,226438
294119,212334
294120,218586
294121,214981
294122,212076
294123,211940
294124,205601
294125,217723
294126,230598
294127,230366
294128,211887
294129,210868
294130,228897
294131,223724
294132,227680
294133,211514
294134,224890
294135,216948
294136,225760
294137,229235
294138,227846
294139,218244
294140,228267
294141,210187
294142,221309
294143,220175
294144,231694
294145,220362
294146,220396
294147,216294
294148,226741
294149,223398
294150,224002
294151,232506
294152,223977
294153,208334
294154,221491
294155,209917
294156,220871
294157,209460
294158,231173
294159,219819
294160,219770
294161,221713
294162,227847
294163,224182
294164,231041
294165,207610
294166,224129
294167,214917
294168,225607
294169,224459
294170,221806
294171,225557
294172,226782
294173,222274
294174,223364
294175,222138
294176,224581
294177,210049
294178,213061
294179,227833
294180,228663
294181,221219
294182,217910
294183,213589
294184,213653
294185,228014
294186,212086
294187,229554
294188,230751
294189,223102
294190,223066
294191,226323
294192,221460
294193,219996
294194,230748
294195,220968
294196,227068
294198,225262
294199,228306
294200,207672
294201,228687
294202,210986
294203,210643
294204,210979
294205,221627
294206,224467
294207,214202
294208,214175
294209,212939
294210,219656
294211,211929
294212,217945
294213,217906
294214,210464
294215,208681
294216,205270
294217,203658
294218,204985
294219,207724
294220,214512
310102,231447
310201,231298
310302,237333
310303,246630
310304,263067
310401,240241
330004,325786
33001A,333886
33001B,322492
33002A,299931
33002B,299886
33003A,308445
33003B,300441
350001,400039
350002,421159
350003,406947
350004,412481
350005,432173
350006,435099
350007,397598
270405,351802
270406,357715
270408,353102
270409,350617
270410,359046
270412,352908
270413,349033
291001,206475
291002,188918
291003,205969
291004,204856
291005,204425
291006,203265
291007,202953
291008,207638
291009,186802
291010,206916
291011,204372
291012,194914
291013,201666
291014,202217
291015,202970
291016,202913
291017,205152
291018,203735
291019,204653
291020,203081
291021,202177
291022,200881
291023,201494
291024,189456
291025,200434
291026,199486
291027,201181
291028,204526
291029,201589
291030,197701
291031,200672
291032,200933
291033,194691
291034,179599
291035,195087
291036,193435
291037,195438
291038,194185
291039,192396
291040,198526
291041,195199
291042,196353
291043,196840
291044,196816
291045,197832
291046,198321
291047,200274
291048,199372
291049,200944
291050,202516
291051,202053
291052,201320
291053,202491
291054,200585
291055,193091
291056,197340
291057,199989
291058,188537
291059,191488
291060,192398
291061,192203
291062,187982
291063,181387
291064,181490
291065,177550
291066,174755
291067,173702
291068,178629
291069,187960
291070,195967
291071,188718
291072,193989
291073,184216
291074,205227
291075,192930
291076,188493
291077,203584
291078,203236
291079,188604
291080,189959
291081,175742
291082,191332
291083,187633
291084,197128
291085,195865
291086,197474
291087,192188
291088,202851
291089,205281
291090,201139
291091,205272
291092,188368
291093,188393
291094,190305
291095,187800
291096,200981
291097,202875
291098,205469
291099,191534
291100,187053
291101,186739
291102,199785
291103,198488
291104,192686
291105,189797
291106,183093
291107,191405
291108,185891
291109,190782
291110,182543
291111,191009
291112,192265
291113,190578
291114,189597
291115,204302
291116,205075
291117,204859
550100,310437
1133050,541428
350009,416093
350010,402249
350011,420400
1133090,546760
2190036,409101
4790345,3379
430001,83975
430002,47957
430003,0
430004,35146
430005,0
430006,0
430007,0
430008,74711
450001,498657
450002,499506
450003,498176
450004,514921
450006,506183
470001,82707
470002,114550
470003,99389
470004,100849
470005,59888
470006,105092
470007,68354
470008,113935
470009,75810
490101,298154
490105,315559
490109,283833
490113,299074
490202,317532
490204,316162
490212,330049
490214,327118
490215,321373
490303,316754
490306,323455
490307,335137
490308,322352
490316,330104
490318,320299
490410,295392
490411,315940
490417,315207
530001,285063
530002,291148
530003,272944
530004,276464
530005,289216
530006,287208
530007,282367
530009,274097
530010,292480
530011,292264
530012,299424
530013,307015
530014,304573
530015,317194
530016,317064
530017,298031
530018,271449
530019,270893
530020,279228
1132503,562285
1132504,563699
1132505,564122
1132506,561387
1132507,562439
1132508,563595
1132509,567243
1132510,566644
1132511,566074
1132512,565464
1132513,564367
1132514,563505
1132601,547696
1132602,546306
1132603,544680
1132604,546998
1132605,546664
1132606,548515
1132700,567805
1132701,568802
1132702,570991
1132703,567703
1132704,567195
1132705,566588
1132706,565480
1132707,566649
1132708,568137
1132709,567916
1132710,569693
1132711,571146
1132712,569681
1132713,569315
1132714,567890
1132715,569422
1132716,568801
1132717,573267
1132800,544520
1132801,546300
1132802,545203
1132803,548340
1132804,548797
1132805,548453
1132806,549540
1132807A,550596
1132807B,551710
1132808,547662
1132809,549154
1132810A,543922
1132810B,547786
1132900,554870
1132901,554330
1132902,558920
1132903,557672
1132904,556882
1132905,557948
1132910,548291
1132911,549823
1132920,570083
1132921,574292
1132922,578372
1132923,575148
1132924,573198
1132925,571101
1132926,573674
1132927,576334
1132928,571250
1132929,571718
1132940,573455
1132941,573570
1132942,573179
1133000,547015
1133001,532335
1133002,533329
1133003,533210
1133004,534349
1133005,546158
1133006,545759
1133007,545565
1133008A,544860
1133008B,546462
1133009,547126
1133010,548522
1133011,547120
1133012,547925
1133013,550183
1133014,554144
1133015,553193
1133016A,543907
1133016B,546618
1133017,545447
1133018,546693
1133019,547452
1133020,548087
1133021,548112
1133022,549130
1133023,547069
1133024,550652
1133025,551195
1133026,545717
1133027,546477
1133028,549096
1133029,548243
1133030,549384
1133031,551657
1133032,542292
1133033,542336
1133034,541981
1133035,542281
1133036,543747
1133037,541197
1133038,541295
1133039,543291
1133040,545455
1133041,537162
1133042,542971
1133043,543813
1133044,542976
1133045,546604
1133046,535473
1133047,536621
1133048,540196
1133049,540936
4410101,334773
4410102,332785
4410103,331794
4410104,330862
