PrecinctKey,color
Maricopa 0386,#aaf
Maricopa 0518,#faa
Maricopa 0015,#aaf
Maricopa 0308,#faa
Maricopa 0350,#66f
Maricopa 0307,#faa
Maricopa 0682,#aaf
Maricopa 0415,#aaf
Maricopa 0049,#aaf
Maricopa 0060,#faa
Maricopa 0562,#f66
Maricopa 0691,#f66
Maricopa 0364,#faa
Maricopa 0333,#faa
Maricopa 0148,#faa
Maricopa 0239,#aaf
Maricopa 0227,#faa
Maricopa 0690,#faa
Maricopa 0284,#aaf
Maricopa 0453,#faa
Maricopa 0318,#faa
Maricopa 0222,#faa
Maricopa 0448,#aaf
Maricopa 0218,#66f
Maricopa 0697,#66f
Maricopa 0067,#66f
Maricopa 0329,#aaf
Maricopa 0277,#f66
Maricopa 0306,#66f
Maricopa 0174,#faa
Maricopa 0002,#faa
Maricopa 0482,#aaf
Maricopa 0359,#faa
Maricopa 0664,#aaf
Maricopa 0629,#aaf
Maricopa 0262,#faa
Maricopa 0014,#f66
Maricopa 0312,#66f
Maricopa 0150,#f66
Maricopa 0381,#66f
Maricopa 0156,#faa
Maricopa 0717,#f66
Maricopa 0071,#faa
Maricopa 0405,#faa
Maricopa 0338,#faa
Maricopa 0182,#faa
Maricopa 0534,#aaf
Maricopa 0046,#66f
Maricopa 0158,#faa
Maricopa 0258,#faa
Maricopa 0636,#faa
Maricopa 0162,#66f
Maricopa 0400,#faa
Maricopa 0198,#faa
Maricopa 0231,#66f
Maricopa 0225,#faa
Maricopa 0220,#faa
Maricopa 0508,#f66
Maricopa 0609,#66f
Maricopa 0561,#66f
Maricopa 0528,#aaf
Maricopa 0017,#faa
Maricopa 0253,#aaf
Maricopa 0294,#faa
Maricopa 0190,#faa
Maricopa 0614,#faa
Maricopa 0032,#faa
Maricopa 0044,#aaf
Maricopa 0342,#faa
Maricopa 0486,#aaf
Maricopa 0161,#faa
Maricopa 0076,#faa
Maricopa 0634,#66f
Maricopa 0410,#aaf
Maricopa 0721,#faa
Maricopa 0512,#faa
Maricopa 0650,#f66
Maricopa 0540,#faa
Maricopa 0348,#faa
Maricopa 0529,#faa
Maricopa 0160,#faa
Maricopa 0226,#f66
Maricopa 0398,#aaf
Maricopa 0053,#faa
Maricopa 0368,#f66
Maricopa 0569,#faa
Maricopa 0698,#faa
Maricopa 0570,#faa
Maricopa 0041,#faa
Maricopa 0626,#66f
Maricopa 0108,#faa
Maricopa 0383,#aaf
Maricopa 0513,#66f
Maricopa 0373,#faa
Maricopa 0493,#faa
Maricopa 0034,#faa
Maricopa 0196,#aaf
Maricopa 0460,#aaf
Maricopa 0197,#faa
Maricopa 0293,#faa
Maricopa 0107,#aaf
Maricopa 0080,#faa
Maricopa 0470,#faa
Maricopa 0245,#f66
Maricopa 0483,#66f
Maricopa 0407,#faa
Maricopa 0463,#aaf
Maricopa 0140,#faa
Maricopa 0685,#aaf
Maricopa 0635,#faa
Maricopa 0353,#66f
Maricopa 0209,#66f
Maricopa 0667,#faa
Maricopa 0297,#66f
Maricopa 0510,#66f
Maricopa 0247,#aaf
Maricopa 0584,#faa
Maricopa 0068,#aaf
Maricopa 0427,#f66
Maricopa 0598,#aaf
Maricopa 0464,#faa
Maricopa 0412,#faa
Maricopa 0704,#f66
Maricopa 0215,#faa
Maricopa 0503,#faa
Maricopa 0324,#faa
Maricopa 0679,#faa
Maricopa 0145,#faa
Maricopa 0300,#66f
