PrecinctKey,color
Pima 0128,#aaf
Pima 0185,#faa
Pima 0121,#aaf
Pima 0046,#faa
Pima 0215,#faa
Pima 0162,#aaf
Pima 0198,#faa
Pima 0240,#faa
Pima 0017,#66f
Pima 0231,#aaf
Pima 0041,#aaf
Pima 0225,#aaf
Pima 0116,#aaf
Pima 0213,#aaf
Pima 0097,#66f
Pima 0020,#66f
Pima 0045,#66f
Pima 0016,#66f
Pima 0022,#66f
Pima 0054,#66f
Pima 0229,#faa
Pima 0167,#66f
Pima 0048,#66f
Pima 0190,#66f
Pima 0208,#faa
Pima 0032,#aaf
Pima 0122,#aaf
Pima 0151,#aaf
Pima 0161,#faa
Pima 0075,#66f
Pima 0029,#faa
Pima 0076,#66f
Pima 0204,#f66
Pima 0195,#faa
Pima 0149,#aaf
Pima 0132,#aaf
Pima 0146,#aaf
Pima 0066,#66f
Pima 0118,#aaf
Pima 0226,#faa
Pima 0053,#66f
Pima 0100,#aaf
Pima 0153,#66f
Pima 0036,#aaf
Pima 0178,#faa
Pima 0143,#66f
Pima 0065,#faa
Pima 0003,#66f
Pima 0114,#faa
Pima 0189,#66f
Pima 0193,#faa
Pima 0155,#66f
Pima 0039,#faa
Pima 0214,#aaf
Pima 0192,#aaf
Pima 0079,#faa
Pima 0108,#aaf
Pima 0203,#aaf
Pima 0220,#faa
Pima 0050,#66f
Pima 0001,#aaf
Pima 0055,#aaf
Pima 0103,#66f
Pima 0173,#faa
Pima 0228,#aaf
Pima 0099,#66f
Pima 0024,#faa
Pima 0175,#f66
Pima 0172,#faa
Pima 0242,#faa
Pima 0197,#faa
Pima 0194,#faa
Pima 0031,#faa
Pima 0112,#aaf
Pima 0126,#faa
Pima 0085,#aaf
Pima 0230,#aaf
Pima 0049,#faa
Pima 0107,#aaf
Pima 0080,#66f
Pima 0245,#66f
Pima 0188,#faa
Pima 0005,#f66
Pima 0012,#faa
Pima 0064,#66f
Pima 0133,#aaf
Pima 0158,#aaf
Pima 0232,#aaf
Pima 0056,#66f
Pima 0237,#aaf
Pima 0011,#f66
Pima 0137,#66f
Pima 0160,#66f
Pima 0147,#faa
Pima 0113,#aaf
Pima 0034,#aaf
Pima 0209,#faa
Pima 0127,#faa
Pima 0244,#66f
Pima 0168,#faa
Pima 0052,#66f
Pima 0241,#aaf
Pima 0243,#faa
Pima 0090,#faa
Pima 0004,#66f
Pima 0179,#faa
Pima 0184,#faa
Pima 0068,#66f
Pima 0081,#faa
Pima 0070,#faa
Pima 0239,#aaf
Pima 0062,#66f
Pima 0157,#66f
Pima 0171,#aaf
Pima 0057,#66f
Pima 0059,#66f
Pima 0051,#66f
Pima 0134,#faa
Pima 0223,#faa
Pima 0233,#aaf
Pima 0145,#faa
Pima 0093,#66f
Pima 0125,#aaf
Pima 0217,#faa
Pima 0058,#66f
Pima 0028,#66f
Pima 0183,#faa
Pima 0026,#66f
Pima 0006,#faa
Pima 0129,#aaf
Pima 0061,#aaf
Pima 0035,#aaf
Pima 0138,#66f
Pima 0205,#faa
Pima 0009,#aaf
Pima 0110,#66f
Pima 0247,#66f
Pima 0013,#aaf
Pima 0152,#66f
Pima 0123,#aaf
Pima 0177,#aaf
Pima 0221,#f66
Pima 0101,#faa
Pima 0091,#66f
Pima 0144,#66f
Pima 0027,#ddd
Pima 0224,#faa
Pima 0023,#66f
Pima 0007,#faa
Pima 0119,#aaf
Pima 0104,#faa
Pima 0154,#66f
Pima 0008,#aaf
Pima 0196,#66f
Pima 0047,#66f
Pima 0219,#faa
Pima 0142,#faa
Pinal 0029,#66f
Pinal 0094,#faa
Pinal 0074,#faa
Pinal 0105,#aaf
Pinal 0066,#faa
Pinal 0042,#faa
Pinal 0053,#66f
Pinal 0076,#f66
Pinal 0036,#aaf
Pinal 0039,#faa
Pinal 0069,#faa
Pinal 0092,#faa
Pinal 0030,#faa
Pinal 0018,#faa
Pinal 0033,#faa
Pinal 0079,#faa
Pinal 0051,#f66
Pinal 0040,#faa
Pinal 0050,#66f
Pinal 0082,#aaf
Pinal 0001,#faa
Pinal 0055,#faa
Pinal 0015,#faa
Pinal 0103,#ddd
Pinal 0038,#faa
Pinal 0099,#faa
Pinal 0034,#faa
Pinal 0077,#66f
Pinal 0080,#faa
Pinal 0086,#faa
Pinal 0060,#66f
Pinal 0031,#faa
Pinal 0085,#faa
Pinal 0010,#f66
Pinal 0073,#faa
Pinal 0072,#faa
Pinal 0005,#faa
Pinal 0012,#66f
Pinal 0019,#faa
Pinal 0064,#faa
Pinal 0037,#faa
Pinal 0102,#faa
Pinal 0056,#f66
Pinal 0011,#faa
Pinal 0075,#faa
Pinal 0089,#f66
Pinal 0022,#f66
Pinal 0041,#faa
Pinal 0067,#faa
Pinal 0098,#faa
Pinal 0008,#faa
Pinal 0084,#faa
Pinal 0052,#f66
Pinal 0095,#faa
Pinal 0100,#faa
Pinal 0088,#f66
Pinal 0090,#faa
Pinal 0004,#aaf
Pinal 0078,#faa
Pinal 0068,#faa
Pinal 0093,#aaf
Pinal 0081,#faa
Pinal 0007,#faa
Pinal 0062,#66f
Pinal 0014,#66f
Pinal 0057,#f66
Pinal 0049,#f66
Pinal 0096,#f66
Pinal 0048,#faa
Pinal 0063,#f66
Pinal 0087,#faa
Pinal 0021,#f66
Pinal 0043,#faa
Pinal 0058,#f66
Pinal 0083,#faa
Pinal 0071,#f66
Pinal 0028,#faa
Pinal 0046,#f66
Pinal 0026,#faa
Pinal 0006,#66f
Pinal 0061,#66f
Pinal 0017,#aaf
Pinal 0009,#faa
Pinal 0024,#faa
Pinal 0013,#faa
Pinal 0032,#faa
Pinal 0101,#aaf
Pinal 0091,#f66
Pinal 0097,#faa
Pinal 0020,#faa
Pinal 0025,#f66
Pinal 0016,#f66
Pinal 0027,#faa
Pinal 0054,#f66
Pinal 0023,#faa
Pinal 0070,#faa
Pinal 0059,#faa
Pinal 0104,#faa
Pinal 0045,#f66
Pinal 0047,#faa
Pinal 0044,#f66
Pinal 0035,#faa
Santa Cruz 0015,#faa
Santa Cruz 0022,#66f
Santa Cruz 0008,#66f
Santa Cruz 0024,#aaf
Santa Cruz 0006,#faa
Santa Cruz 0017,#66f
Santa Cruz 0009,#66f
Santa Cruz 0002,#66f
Santa Cruz 0004,#66f
Santa Cruz 0013,#aaf
Santa Cruz 0010,#66f
Santa Cruz 0018,#66f
Santa Cruz 0020,#66f
Santa Cruz 0003,#66f
Santa Cruz 0014,#aaf
Santa Cruz 0016,#66f
Santa Cruz 0005,#66f
Santa Cruz 0012,#66f
Santa Cruz 0019,#66f
Santa Cruz 0023,#faa
Santa Cruz 0007,#aaf
Santa Cruz 0021,#66f
Santa Cruz 0011,#aaf
Santa Cruz 0001,#66f
Yavapai 0202,#faa
Yavapai 0234,#f66
Yavapai 0201,#faa
Yavapai 0218,#faa
Yavapai 0210,#faa
Yavapai 0209,#f66
Yavapai 0238,#f66
Yavapai 0244,#f66
Yavapai 0239,#f66
Yavapai 0237,#f66
Yavapai 0226,#faa
Yavapai 0212,#ddd
Yavapai 0241,#f66
Yavapai 0243,#f66
Yavapai 0206,#f66
Yavapai 0204,#faa
Yavapai 0213,#f66
Yavapai 0235,#f66
Yavapai 0240,#f66
Yavapai 0216,#faa
Yavapai 0219,#f66
Yavapai 0214,#f66
Yavapai 0215,#f66
Yavapai 0203,#faa
Yavapai 0223,#f66
Yavapai 0217,#faa
Yavapai 0207,#f66
Yavapai 0228,#aaf
Yavapai 0211,#f66
Yavapai 0242,#f66
Yavapai 0231,#f66
Yavapai 0225,#f66
Yavapai 0220,#faa
Yavapai 0230,#faa
Yavapai 0245,#f66
Yavapai 0236,#f66
Yavapai 0229,#faa
Yavapai 0227,#aaf
Yavapai 0222,#f66
Yavapai 0232,#aaf
Yavapai 0205,#f66
Yavapai 0208,#f66
Yavapai 0221,#f66
Yavapai 0233,#faa
Yavapai 0224,#f66
Yuma 0029,#66f
Yuma 0017,#f66
Yuma 0008,#faa
Yuma 0042,#aaf
Yuma 0002,#aaf
Yuma 0004,#aaf
Yuma 0027,#faa
Yuma 0018,#f66
Yuma 0003,#aaf
Yuma 0014,#faa
Yuma 0038,#aaf
Yuma 0005,#faa
Yuma 0030,#66f
Yuma 0039,#faa
Yuma 0043,#faa
Yuma 0021,#ddd
Yuma 0013,#aaf
Yuma 0001,#66f
Yuma 0015,#faa
Yuma 0040,#faa
Yuma 0028,#66f
Yuma 0026,#66f
Yuma 0024,#f66
Yuma 0006,#66f
Yuma 0009,#f66
Yuma 0031,#66f
Yuma 0041,#faa
Yuma 0033,#faa
Yuma 0010,#faa
Yuma 0020,#f66
Yuma 0044,#ddd
Yuma 0016,#faa
Yuma 0022,#faa
Yuma 0012,#f66
Yuma 0019,#faa
Yuma 0023,#f66
Yuma 0007,#66f
Yuma 0037,#aaf
Yuma 0036,#ddd
Yuma 0034,#f66
Yuma 0032,#66f
Yuma 0025,#f66
Yuma 0035,#faa
Yuma 0011,#f66
